"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"64","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand1",0.165812
"65","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand2",0.338588
"66","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_snow","rand2",0.026654
"67","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand2",0.47707
"68","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand2",0.168377
"69","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand3",0.340611
"70","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_snow","rand3",0.027155
"71","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand3",0.472892
"72","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand3",0.163644
"73","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand1",0.00427999999999995
"74","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_snow","rand1",0.830281
"75","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand1",0.057154
"76","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand1",0.144359
"77","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand2",0.00426300000000002
"78","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_snow","rand2",0.852962
"79","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand2",0.0591930000000001
"80","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand2",0.144924
"81","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand3",0.00423700000000005
"82","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_snow","rand3",0.853799
"83","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand3",0.057507
"84","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand3",0.141716
"85","AllData_RUN1_MARS","MARS","RUN1","AllData","Aspect","rand1",0.013919
"86","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_snow","rand1",0.545602
"87","AllData_RUN1_MARS","MARS","RUN1","AllData","Elevation","rand1",0.105969
"88","AllData_RUN1_MARS","MARS","RUN1","AllData","Slope","rand1",0.36791
"89","AllData_RUN1_MARS","MARS","RUN1","AllData","Aspect","rand2",0.013887
"90","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_snow","rand2",0.541367
"91","AllData_RUN1_MARS","MARS","RUN1","AllData","Elevation","rand2",0.106884
"92","AllData_RUN1_MARS","MARS","RUN1","AllData","Slope","rand2",0.367234
"93","AllData_RUN1_MARS","MARS","RUN1","AllData","Aspect","rand3",0.013756
"94","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_snow","rand3",0.540953
"95","AllData_RUN1_MARS","MARS","RUN1","AllData","Elevation","rand3",0.105743
"96","AllData_RUN1_MARS","MARS","RUN1","AllData","Slope","rand3",0.370447
"97","AllData_RUN1_RF","RF","RUN1","AllData","Aspect","rand1",0.126097
"98","AllData_RUN1_RF","RF","RUN1","AllData","Average_snow","rand1",0.690152
"99","AllData_RUN1_RF","RF","RUN1","AllData","Elevation","rand1",0.219679
"100","AllData_RUN1_RF","RF","RUN1","AllData","Slope","rand1",0.314145
"101","AllData_RUN1_RF","RF","RUN1","AllData","Aspect","rand2",0.119832
"102","AllData_RUN1_RF","RF","RUN1","AllData","Average_snow","rand2",0.700739
"103","AllData_RUN1_RF","RF","RUN1","AllData","Elevation","rand2",0.215286
"104","AllData_RUN1_RF","RF","RUN1","AllData","Slope","rand2",0.341263
"105","AllData_RUN1_RF","RF","RUN1","AllData","Aspect","rand3",0.124891
"106","AllData_RUN1_RF","RF","RUN1","AllData","Average_snow","rand3",0.687034
"107","AllData_RUN1_RF","RF","RUN1","AllData","Elevation","rand3",0.214349
"108","AllData_RUN1_RF","RF","RUN1","AllData","Slope","rand3",0.329957
"109","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Aspect","rand1",0.0173489999999999
"110","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Average_snow","rand1",0.654283
"111","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Elevation","rand1",0.065813
"112","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Slope","rand1",0.305065
"113","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Aspect","rand2",0.016646
"114","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Average_snow","rand2",0.657345
"115","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Elevation","rand2",0.067827
"116","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Slope","rand2",0.308219
"117","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Aspect","rand3",0.017042
"118","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Average_snow","rand3",0.640928
"119","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Elevation","rand3",0.0694360000000001
"120","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Slope","rand3",0.310581
"121","AllData_RUN2_GLM","GLM","RUN2","AllData","Aspect","rand1",0.00466500000000003
"122","AllData_RUN2_GLM","GLM","RUN2","AllData","Average_snow","rand1",0.577712
"123","AllData_RUN2_GLM","GLM","RUN2","AllData","Elevation","rand1",0.00868100000000005
"124","AllData_RUN2_GLM","GLM","RUN2","AllData","Slope","rand1",0.439683
"125","AllData_RUN2_GLM","GLM","RUN2","AllData","Aspect","rand2",0.00464699999999996
"126","AllData_RUN2_GLM","GLM","RUN2","AllData","Average_snow","rand2",0.56832
"127","AllData_RUN2_GLM","GLM","RUN2","AllData","Elevation","rand2",0.00858499999999995
"128","AllData_RUN2_GLM","GLM","RUN2","AllData","Slope","rand2",0.437531
"129","AllData_RUN2_GLM","GLM","RUN2","AllData","Aspect","rand3",0.00462600000000002
"130","AllData_RUN2_GLM","GLM","RUN2","AllData","Average_snow","rand3",0.579327
"131","AllData_RUN2_GLM","GLM","RUN2","AllData","Elevation","rand3",0.00854299999999997
"132","AllData_RUN2_GLM","GLM","RUN2","AllData","Slope","rand3",0.436526
"133","AllData_RUN2_GBM","GBM","RUN2","AllData","Aspect","rand1",0.019333
"134","AllData_RUN2_GBM","GBM","RUN2","AllData","Average_snow","rand1",0.666105
"135","AllData_RUN2_GBM","GBM","RUN2","AllData","Elevation","rand1",0.068237
"136","AllData_RUN2_GBM","GBM","RUN2","AllData","Slope","rand1",0.349702
"137","AllData_RUN2_GBM","GBM","RUN2","AllData","Aspect","rand2",0.018925
"138","AllData_RUN2_GBM","GBM","RUN2","AllData","Average_snow","rand2",0.679588
"139","AllData_RUN2_GBM","GBM","RUN2","AllData","Elevation","rand2",0.067281
"140","AllData_RUN2_GBM","GBM","RUN2","AllData","Slope","rand2",0.351687
"141","AllData_RUN2_GBM","GBM","RUN2","AllData","Aspect","rand3",0.01783
"142","AllData_RUN2_GBM","GBM","RUN2","AllData","Average_snow","rand3",0.688149
"143","AllData_RUN2_GBM","GBM","RUN2","AllData","Elevation","rand3",0.069383
"144","AllData_RUN2_GBM","GBM","RUN2","AllData","Slope","rand3",0.353218
"145","AllData_RUN2_GAM","GAM","RUN2","AllData","Aspect","rand1",0.025268
"146","AllData_RUN2_GAM","GAM","RUN2","AllData","Average_snow","rand1",0.569402
"147","AllData_RUN2_GAM","GAM","RUN2","AllData","Elevation","rand1",0.093819
"148","AllData_RUN2_GAM","GAM","RUN2","AllData","Slope","rand1",0.366641
"149","AllData_RUN2_GAM","GAM","RUN2","AllData","Aspect","rand2",0.026084
"150","AllData_RUN2_GAM","GAM","RUN2","AllData","Average_snow","rand2",0.567194
"151","AllData_RUN2_GAM","GAM","RUN2","AllData","Elevation","rand2",0.091218
"152","AllData_RUN2_GAM","GAM","RUN2","AllData","Slope","rand2",0.375718
"153","AllData_RUN2_GAM","GAM","RUN2","AllData","Aspect","rand3",0.025786
"154","AllData_RUN2_GAM","GAM","RUN2","AllData","Average_snow","rand3",0.579647
"155","AllData_RUN2_GAM","GAM","RUN2","AllData","Elevation","rand3",0.093368
"156","AllData_RUN2_GAM","GAM","RUN2","AllData","Slope","rand3",0.369629
"157","AllData_RUN2_CTA","CTA","RUN2","AllData","Aspect","rand1",0.145896
"158","AllData_RUN2_CTA","CTA","RUN2","AllData","Average_snow","rand1",0.676453
"159","AllData_RUN2_CTA","CTA","RUN2","AllData","Elevation","rand1",0.24301
"160","AllData_RUN2_CTA","CTA","RUN2","AllData","Slope","rand1",0.457795
"161","AllData_RUN2_CTA","CTA","RUN2","AllData","Aspect","rand2",0.147148
"162","AllData_RUN2_CTA","CTA","RUN2","AllData","Average_snow","rand2",0.692817
"163","AllData_RUN2_CTA","CTA","RUN2","AllData","Elevation","rand2",0.25733
"164","AllData_RUN2_CTA","CTA","RUN2","AllData","Slope","rand2",0.454871
"165","AllData_RUN2_CTA","CTA","RUN2","AllData","Aspect","rand3",0.144384
"166","AllData_RUN2_CTA","CTA","RUN2","AllData","Average_snow","rand3",0.67428
"167","AllData_RUN2_CTA","CTA","RUN2","AllData","Elevation","rand3",0.252187
"168","AllData_RUN2_CTA","CTA","RUN2","AllData","Slope","rand3",0.443698
"169","AllData_RUN2_ANN","ANN","RUN2","AllData","Aspect","rand1",0.038613
"170","AllData_RUN2_ANN","ANN","RUN2","AllData","Average_snow","rand1",0.537432
