species,long_degrees,lat_degrees
mat,163.239479838171,-77.5812892826655
mat,163.24241916277,-77.5814505752874
mat,163.227010269734,-77.5816602153967
mat,163.208850993668,-77.5819860214725
mat,163.216816243128,-77.5820553505491
mat,163.238083993747,-77.5819594615465
mat,163.213741675272,-77.5821738890518
mat,163.243486281681,-77.582389038005
mat,163.212006201042,-77.5827056897662
mat,163.206827428573,-77.58290338403
mat,163.24339976539,-77.5831580764898
mat,163.216633201805,-77.5835235645334
mat,163.224924205758,-77.5835912051948
mat,163.189222182747,-77.5839591055009
mat,163.245731562109,-77.5837413697428
mat,163.241354434857,-77.5838312373831
mat,163.21132537926,-77.5840712991284
mat,163.245589913034,-77.5839516479602
mat,163.24738293467,-77.5840133164637
mat,163.237806271899,-77.5840919584861
mat,163.248706161464,-77.5842518201488
mat,163.185056244457,-77.5845712079003
mat,163.243858987665,-77.5845185742293
mat,163.191747047207,-77.5848913841838
mat,163.249093256954,-77.584878936048
mat,163.191935876726,-77.5851700593098
mat,163.180574936739,-77.5852894249376
mat,163.196370217521,-77.5856746800703
mat,163.249342249175,-77.5857512541287
mat,163.251799018253,-77.5859496027176
mat,163.249857165388,-77.586028398719
mat,163.167855845893,-77.5865321407918
mat,163.234933430111,-77.5862711734982
mat,163.227791051025,-77.5863384058828
mat,163.20573388506,-77.5867513945182
mat,163.252538922231,-77.5868546004917
mat,163.161105412166,-77.5873296253531
mat,163.222201767192,-77.5873418131126
mat,163.253060904344,-77.587201584008
mat,163.207424971994,-77.5874426603493
mat,163.221396450344,-77.5874153018931
mat,163.174963322698,-77.5878291949913
mat,163.235222578185,-77.587562577002
mat,163.180028015553,-77.5881217377663
mat,163.174346184702,-77.588181231451
mat,163.16314479621,-77.5882991697088
mat,163.327680820108,-77.5875468264081
mat,163.208635661253,-77.5882059244792
mat,163.326717370974,-77.5876563396288
mat,163.168846185017,-77.5884494507554
mat,163.254122346743,-77.5880701603819
mat,163.15487985884,-77.5885439612154
mat,163.225541901724,-77.5882701330666
mat,163.149363346013,-77.5886371687525
mat,163.190134999058,-77.5884620779948
mat,163.209318924168,-77.5885522709391
mat,163.230435272689,-77.5884577008852
mat,163.239693878787,-77.588415719387
mat,163.149067152798,-77.5889528531552
mat,163.254333478699,-77.5885583269285
mat,163.188394364953,-77.5889588051091
mat,163.155746544,-77.5891342189155
mat,163.319485478665,-77.5884251977684
mat,163.34612313853,-77.5882948515726
mat,163.24119707038,-77.5888281335248
mat,163.318857721067,-77.5886378741101
mat,163.148302714389,-77.5894801345659
mat,163.243008004004,-77.5890644440042
mat,163.31724438883,-77.5887504989712
mat,163.162279800596,-77.5894907320555
mat,163.154647861326,-77.5895581253505
mat,163.259597677604,-77.5891978666623
mat,163.160671403703,-77.5896722764841
mat,163.159378220547,-77.5897476579279
mat,163.14102409601,-77.589860090281
mat,163.222249518888,-77.5895077597446
mat,163.258802935675,-77.5893762332139
mat,163.260427358743,-77.589368721656
mat,163.16166222656,-77.5898427398054
mat,163.315497786258,-77.5891432720936
mat,163.333214277343,-77.5891619532394
mat,163.247286775551,-77.5896038995376
mat,163.263206393374,-77.5895305415336
mat,163.162815532371,-77.5900125061349
mat,163.265971452484,-77.5895526438033
mat,163.268898965656,-77.5895739613675
mat,163.271010740559,-77.5895641161973
mat,163.270039598614,-77.5896035844189
mat,163.332254448205,-77.5893064074785
mat,163.310816223112,-77.5894453549636
mat,163.243730208525,-77.5897948528084
mat,163.294088372813,-77.589560276599
mat,163.30610907385,-77.5895029048602
mat,163.296691049476,-77.5895828387536
mat,163.292633559498,-77.5896370620044
mat,163.263071978428,-77.589810673607
mat,163.283540240264,-77.5897149994171
mat,163.30741948243,-77.5896014360594
mat,163.264699963231,-77.5898380589271
mat,163.266649337942,-77.5898290017021
mat,163.273309680336,-77.5897979509467
mat,163.279482651198,-77.5897690268143
mat,163.285493148143,-77.589740729454
mat,163.297676504687,-77.5896829631437
mat,163.268439780913,-77.5898556092773
mat,163.278024179535,-77.5898108120663
mat,163.301741209563,-77.5896985084857
mat,163.272017160983,-77.5898738668917
mat,163.269583960114,-77.589920156521
mat,163.276081895479,-77.5898897950477
mat,163.277226116952,-77.5899543101975
mat,163.282262018909,-77.5899306523136
mat,163.284377405973,-77.5899556256412
mat,163.14061266799,-77.5907003036529
mat,163.274803528648,-77.5901054129531
mat,163.279514595074,-77.5900833260814
mat,163.150038868594,-77.5906956128767
mat,163.275944223636,-77.5901350112848
mat,163.282456484764,-77.590244186531
mat,163.286846256158,-77.5902584243509
mat,163.14339996711,-77.5909681168322
mat,163.216844475914,-77.5907547883988
mat,163.289470526615,-77.590490587758
mat,163.166002466242,-77.591081943542
mat,163.270798655168,-77.5906831440598
mat,163.295004760198,-77.5905691530546
mat,163.124418990038,-77.5913615479441
mat,163.18827054096,-77.5910905428812
mat,163.287538924936,-77.590674418452
mat,163.285755459003,-77.5907177805094
mat,163.138238827271,-77.5914089733895
mat,163.290477475201,-77.5908002702621
mat,163.130615007571,-77.5915804651263
mat,163.261103585078,-77.591252274856
mat,163.214481656769,-77.5915339676287
mat,163.226179652721,-77.5914815708886
mat,163.262247853591,-77.5913168529127
mat,163.275255783975,-77.5913610914772
mat,163.154875314727,-77.5920377072177
mat,163.156997218412,-77.5921335168719
mat,163.158173165093,-77.5925477685291
mat,163.230005215997,-77.5923727194213
mat,163.298578432299,-77.5921243995472
mat,163.348177389323,-77.5923027603434
mat,163.280928906251,-77.5928019084617
mat,163.142650220988,-77.5934517984705
mat,163.173382242709,-77.593530821363
mat,163.242605971658,-77.5932239407758
mat,163.174857790514,-77.5936642136081
mat,163.120265244192,-77.593998924274
mat,163.24475291778,-77.5935635253457
mat,163.17522192842,-77.5940818935974
mat,163.293360267362,-77.5935467802183
mat,163.235683899631,-77.5939192462945
mat,163.336106650764,-77.5934453480837
mat,163.098690914772,-77.5945409365626
mat,163.170063873981,-77.5945582764266
mat,163.190712968056,-77.5945736491751
mat,163.115488993903,-77.5951364954836
mat,163.172053075387,-77.5949689782186
mat,163.102333605711,-77.5952948332257
mat,163.098598516522,-77.5953448515583
mat,163.110144151041,-77.5953679402192
mat,163.100567181997,-77.595546528724
mat,163.260831493787,-77.5950269004666
mat,163.102867098957,-77.5958167250764
mat,163.088244987739,-77.5959453738614
mat,163.097678179778,-77.5959774190458
mat,163.104504702222,-77.5959498404041
mat,163.098181028886,-77.5961500765496
mat,163.248691312452,-77.595571934704
mat,163.262675225175,-77.5955773818181
mat,163.080810278169,-77.5964640677057
mat,163.092859703179,-77.5966605771479
mat,163.104243988961,-77.5966845674335
mat,163.093199965582,-77.5968338955236
mat,163.333913580388,-77.5957621028484
mat,163.250870067412,-77.5962257740682
mat,163.252007785954,-77.596220550101
mat,163.098898281919,-77.5969157916711
mat,163.243884656533,-77.5962926825855
mat,163.254618728083,-77.5963133591955
mat,163.078269430605,-77.5971728593514
mat,163.327445911578,-77.5961081371979
mat,163.10330852588,-77.5971425325659
mat,163.105479991938,-77.5977975320429
mat,163.252437128222,-77.5972667317677
mat,163.106633268337,-77.5979675361896
mat,163.108593240988,-77.5980643826464
mat,163.099492738784,-77.5981361770154
mat,163.091536153016,-77.5982729622983
mat,163.269048281972,-77.5975043468504
mat,163.256051455092,-77.5976344240757
mat,163.063583312634,-77.5984882637452
mat,163.097722812177,-77.5983529297834
mat,163.092698384328,-77.5985477986701
mat,163.11041842098,-77.598476195168
mat,163.31751557956,-77.5975538962099
mat,163.093360804928,-77.5986848889992
mat,163.147824584143,-77.5984959451203
mat,163.332332920881,-77.5977264483546
mat,163.098912640927,-77.5989420588811
mat,163.110943132373,-77.5988932986514
mat,163.315464572707,-77.5981577704249
mat,163.26702661103,-77.5984221570886
mat,163.160874959641,-77.5989298057626
mat,163.224283202264,-77.5987222898084
mat,163.268175082276,-77.5985216325997
mat,163.235344443504,-77.5987422650666
mat,163.09911182987,-77.5993604956124
mat,163.089685173002,-77.5994332733366
mat,163.266726107472,-77.5986681243061
mat,163.308828975209,-77.5984692258163
mat,163.267871079252,-77.5987326787759
mat,163.336474458926,-77.5984399045999
mat,163.338100004291,-77.5984319299285
mat,163.112133631231,-77.5994823700554
mat,163.266089918037,-77.5988108344408
mat,163.060115636137,-77.5997944107665
mat,163.103038247987,-77.5996241311914
mat,163.26545371417,-77.5989535430922
mat,163.336005337667,-77.5986169021364
mat,163.096547073891,-77.5997900629371
mat,163.335369937036,-77.5987597738281
mat,163.10371003033,-77.5998659692813
mat,163.100786526161,-77.599912725427
mat,163.227111527692,-77.5993733979953
mat,163.339119936802,-77.598846196829
mat,163.220124243626,-77.5994396976583
mat,163.096730973211,-77.60003387956
mat,163.334904493955,-77.5989716908877
mat,163.10112698572,-77.6000860339368
mat,163.324995553938,-77.5990899125073
mat,163.337679178383,-77.5990629082407
mat,163.264693547278,-77.5994811503269
mat,163.07496477943,-77.6003651220471
mat,163.324858734794,-77.5993351534985
mat,163.101639221912,-77.6003634580658
mat,163.11676030305,-77.6003019414212
mat,163.223592655364,-77.5999831624341
mat,163.099215583107,-77.6005479232959
mat,163.102142300692,-77.6005361083025
mat,163.071417443721,-77.600728448324
mat,163.1026545776,-77.6008135305307
mat,163.267548767164,-77.6003762953889
mat,163.08073058763,-77.6012157394694
mat,163.120415077305,-77.6011603690895
mat,163.217326316254,-77.6007798510775
mat,163.04465504055,-77.6016358273301
mat,163.073111963144,-77.6015253206599
mat,163.078478069316,-77.6015041494853
mat,163.157854953345,-77.6014581363273
mat,163.12182491266,-77.6023773639311
mat,163.122650472053,-77.6025137140624
mat,163.33408505273,-77.6019805043993
mat,163.071968837904,-77.6033814435975
mat,163.109877424671,-77.6034044826644
mat,163.268297085637,-77.6029582782347
mat,163.27579871437,-77.6031329176212
mat,163.344500571599,-77.6035365715532
mat,163.328260599809,-77.6038257926913
mat,163.328127481148,-77.6041059569036
mat,163.121917751639,-77.6052418086601
mat,163.002692672888,-77.6057760191718
mat,163.132333930265,-77.6052686385992
mat,163.00172779421,-77.6059193067762
mat,163.049877391399,-77.605738231423
mat,163.010363308099,-77.6060621356597
mat,163.125055066005,-77.6057529400616
mat,163.000975611574,-77.6066906514071
mat,163.118920533806,-77.6063022271099
mat,163.003757896852,-77.6068900417289
mat,163.059397278615,-77.6067145736581
mat,163.118125823505,-77.606515107075
mat,163.332348587298,-77.6055528280709
mat,163.063150666087,-77.6068397162277
mat,163.109593579086,-77.6075631137665
mat,162.998817394753,-77.6082007924897
mat,163.226448480075,-77.607586849361
mat,163.253470437863,-77.6076387162505
mat,163.257232996842,-77.6078310330316
mat,163.334829546947,-77.6074623742721
mat,162.999201087509,-77.6089330349708
mat,163.000020188954,-77.6089999052032
mat,163.000839299112,-77.609066772977
mat,163.255163471351,-77.6082947637614
mat,163.320240383131,-77.6080225245522
mat,163.000216245421,-77.6094184138042
mat,163.066602745814,-77.6091669727276
mat,163.238250793621,-77.6084419288147
mat,163.001038165168,-77.6095202064009
mat,163.096556101931,-77.6092229154807
mat,163.002031168207,-77.6097261752102
mat,163.003498427894,-77.6097557185687
mat,163.004654211896,-77.6099610793455
mat,162.999620930916,-77.6101193074688
mat,163.234594665172,-77.6093319555563
mat,163.220283623768,-77.6094662147455
mat,163.0105486968,-77.6103934768547
mat,163.004370627413,-77.6104861580747
mat,163.234615245884,-77.609541492066
mat,163.011210845077,-77.6105307667273
mat,163.00618021436,-77.6107240411455
mat,163.264920103553,-77.6098219397762
mat,163.342377201262,-77.6095566575698
mat,163.254198873192,-77.6100461261009
mat,163.215324197017,-77.6103618018268
mat,163.094427181879,-77.6109433573651
mat,163.254718377868,-77.6103581843672
mat,163.005262482092,-77.6114610724108
