,full.name,PA,run,algo,expl.var,rand,var.imp
64,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Slope,1,0.043682
65,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Aspect,1,0.337227
66,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Average_GCW,2,0.295551
67,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Average_snow,2,0.504155
68,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Elevation,2,0.033882
69,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Slope,2,0.042197
70,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Aspect,2,0.330661
71,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Average_GCW,3,0.292978
72,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Average_snow,3,0.508186
73,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Elevation,3,0.034018
74,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Slope,3,0.042335
75,blackmat_allData_RUN2_GAM,allData,RUN2,GAM,Aspect,3,0.332945
76,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Average_GCW,1,0.328129
77,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Average_snow,1,0.61946
78,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Elevation,1,0.012621
79,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Slope,1,0.012056
80,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Aspect,1,0.076948
81,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Average_GCW,2,0.321342
82,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Average_snow,2,0.620905
83,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Elevation,2,0.012497
84,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Slope,2,0.012182
85,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Aspect,2,0.07663
86,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Average_GCW,3,0.319881
87,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Average_snow,3,0.621927
88,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Elevation,3,0.012313
89,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Slope,3,0.012592
90,blackmat_allData_RUN2_GBM,allData,RUN2,GBM,Aspect,3,0.073396
91,blackmat_allData_RUN2_RF,allData,RUN2,RF,Average_GCW,1,0.150273
92,blackmat_allData_RUN2_RF,allData,RUN2,RF,Average_snow,1,0.742308
