"","species","long_degrees","lat_degrees","presence"
"1","mat",163.135677547653,-77.6549003733033,1
"2","mat",163.063937249969,-77.6526730857722,1
"3","mat",163.188644623095,-77.6243146660446,1
"4","mat",163.210813921631,-77.6311350231811,1
"5","mat",163.255995212512,-77.6182484228322,1
"6","mat",163.019053832959,-77.6309739789963,1
"7","mat",163.203293132237,-77.6258227370761,1
"8","mat",163.305902523328,-77.6172805468844,1
"9","mat",163.258636328413,-77.6299756307875,1
"10","mat",163.216862151317,-77.6413799613125,1
"11","mat",163.071623040843,-77.6145973735579,1
"12","mat",163.264476760895,-77.6426314163019,1
"13","mat",163.216568270129,-77.634987597269,1
"14","mat",163.293629371749,-77.619889529971,1
"15","mat",163.169171542268,-77.6444528394828,1
"16","mat",163.233139426292,-77.6343194037455,1
"17","mat",163.211591757956,-77.6307472578607,1
"18","mat",163.21132537926,-77.5840712991284,1
"19","mat",163.227419843839,-77.6342053906751,1
"20","mat",163.199375072089,-77.6513446209376,1
"21","mat",163.247286775551,-77.5896038995376,1
"22","mat",163.073417559134,-77.6203548271764,1
"23","mat",163.02682981583,-77.6124288483319,1
"24","mat",163.100786526161,-77.599912725427,1
"25","mat",163.272017160983,-77.5898738668917,1
"26","mat",163.257442081093,-77.6131756697873,1
"27","mat",163.215032628212,-77.6359726923983,1
"28","mat",163.276445982484,-77.6175246782594,1
"29","mat",163.228411670026,-77.6343406886392,1
"30","mat",163.094427181879,-77.6109433573651,1
"31","mat",163.339119936802,-77.598846196829,1
"32","mat",163.223623061813,-77.6354103094035,1
"33","mat",163.20385879127,-77.6504165529508,1
"34","mat",163.015360885494,-77.611528493116,1
"35","mat",163.210000334597,-77.6294616022583,1
"36","mat",163.282081151051,-77.6184765620611,1
"37","mat",163.106440331071,-77.6530985437783,1
"38","mat",163.208672859854,-77.6444558766972,1
"39","mat",163.208867825708,-77.6430924330455,1
"40","mat",163.139833986401,-77.6449260043702,1
"41","mat",163.200458306299,-77.6524229482221,1
"42","mat",163.272591779946,-77.616459569353,1
"43","mat",163.243008004004,-77.5890644440042,1
"44","mat",163.028905022,-77.6318104699625,1
"45","mat",163.029433832755,-77.6303062333072,1
"46","mat",163.033908628226,-77.6133803295234,1
"47","mat",163.22188039609,-77.6342651441162,1
"48","mat",163.10112698572,-77.6000860339368,1
"49","mat",163.299330675473,-77.6293309655281,1
"50","mat",163.040447296148,-77.6156612599647,1
"51","mat",163.034890969767,-77.6134464784596,1
"52","mat",163.286846256158,-77.5902584243509,1
"53","mat",163.243936371762,-77.6395811300741,1
