"","dem_pr","slope","aspect","soil_pr","water_pr","vwc_pr","snowice_pr","vwcsetzero_pr"
"dem_pr",1,-0.174619637232602,0.27927887429619,-0.174664997166821,-0.211793836423558,0.122088268014505,0.0406402785869419,-0.284523584117899
"slope",-0.174619637232602,1,-0.0945316956955176,-0.0403200017198008,-0.161777559723222,-0.0494158463913944,0.139944797247974,0.157892445252651
"aspect",0.27927887429619,-0.0945316956955176,1,0.0276410441910214,-0.0807379654440407,0.321541095128772,-0.156679605231074,-0.0261996195436601
"soil_pr",-0.174664997166821,-0.0403200017198008,0.0276410441910214,1,-0.0441720860543214,-0.158403905573837,0.0871068522602712,-0.13611512721244
"water_pr",-0.211793836423558,-0.161777559723222,-0.0807379654440407,-0.0441720860543214,1,0.120763582194301,-0.227449480313679,0.0206897899146938
"vwc_pr",0.122088268014505,-0.0494158463913944,0.321541095128772,-0.158403905573837,0.120763582194301,1,-0.258709645027665,-0.0208838103975346
"snowice_pr",0.0406402785869419,0.139944797247974,-0.156679605231074,0.0871068522602712,-0.227449480313679,-0.258709645027665,1,0.0976175207057731
"vwcsetzero_pr",-0.284523584117899,0.157892445252651,-0.0261996195436601,-0.13611512721244,0.0206897899146938,-0.0208838103975346,0.0976175207057731,1
