"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"65","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand2",0.402314
"66","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand2",0.045062
"67","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand2",0.314093
"68","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand2",0.286793
"69","AllData_RUN1_SRE","SRE","RUN1","AllData","Aspect","rand3",0.418387
"70","AllData_RUN1_SRE","SRE","RUN1","AllData","Average_GCW","rand3",0.044698
"71","AllData_RUN1_SRE","SRE","RUN1","AllData","Elevation","rand3",0.310873
"72","AllData_RUN1_SRE","SRE","RUN1","AllData","Slope","rand3",0.289335
"73","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand1",0.014652
"74","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_GCW","rand1",0.943466
"75","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand1",0.00596699999999994
"76","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand1",0.025871
"77","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand2",0.0146849999999999
"78","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_GCW","rand2",0.93965
"79","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand2",0.005907
"80","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand2",0.026991
"81","AllData_RUN1_FDA","FDA","RUN1","AllData","Aspect","rand3",0.0145110000000001
"82","AllData_RUN1_FDA","FDA","RUN1","AllData","Average_GCW","rand3",0.958397
"83","AllData_RUN1_FDA","FDA","RUN1","AllData","Elevation","rand3",0.00583
"84","AllData_RUN1_FDA","FDA","RUN1","AllData","Slope","rand3",0.025816
"85","AllData_RUN1_MARS","MARS","RUN1","AllData","Aspect","rand1",0.181536
"86","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_GCW","rand1",0.686697
"87","AllData_RUN1_MARS","MARS","RUN1","AllData","Elevation","rand1",0.096624
"88","AllData_RUN1_MARS","MARS","RUN1","AllData","Slope","rand1",0.108013
"89","AllData_RUN1_MARS","MARS","RUN1","AllData","Aspect","rand2",0.183914
"90","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_GCW","rand2",0.671023
"91","AllData_RUN1_MARS","MARS","RUN1","AllData","Elevation","rand2",0.097265
"92","AllData_RUN1_MARS","MARS","RUN1","AllData","Slope","rand2",0.104705
"93","AllData_RUN1_MARS","MARS","RUN1","AllData","Aspect","rand3",0.177654
"94","AllData_RUN1_MARS","MARS","RUN1","AllData","Average_GCW","rand3",0.684212
"95","AllData_RUN1_MARS","MARS","RUN1","AllData","Elevation","rand3",0.0985470000000001
"96","AllData_RUN1_MARS","MARS","RUN1","AllData","Slope","rand3",0.104572
"97","AllData_RUN1_RF","RF","RUN1","AllData","Aspect","rand1",0.234868
"98","AllData_RUN1_RF","RF","RUN1","AllData","Average_GCW","rand1",0.810108
"99","AllData_RUN1_RF","RF","RUN1","AllData","Elevation","rand1",0.130642
"100","AllData_RUN1_RF","RF","RUN1","AllData","Slope","rand1",0.266895
"101","AllData_RUN1_RF","RF","RUN1","AllData","Aspect","rand2",0.205782
"102","AllData_RUN1_RF","RF","RUN1","AllData","Average_GCW","rand2",0.818685
"103","AllData_RUN1_RF","RF","RUN1","AllData","Elevation","rand2",0.117287
"104","AllData_RUN1_RF","RF","RUN1","AllData","Slope","rand2",0.226356
"105","AllData_RUN1_RF","RF","RUN1","AllData","Aspect","rand3",0.227641
"106","AllData_RUN1_RF","RF","RUN1","AllData","Average_GCW","rand3",0.817248
"107","AllData_RUN1_RF","RF","RUN1","AllData","Elevation","rand3",0.118829
"108","AllData_RUN1_RF","RF","RUN1","AllData","Slope","rand3",0.236755
"109","AllData_RUN1_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN1","AllData","Aspect","rand1",0.18343
