"","SD","species","long_degrees","lat_degrees","presence"
"133",344,"mat",163.2073911,-77.64809509,1
"134",978,"mat",163.2099957,-77.64801371,1
"135",998,"mat",163.2821239,-77.61889563,1
"136",28,"mat",163.276446,-77.61752468,1
"137",421,"mat",163.1283738,-77.64092081,1
"138",88,"mat",163.2086459,-77.64417649,1
"139",916,"mat",163.2230458,-77.63618153,1
"140",797,"mat",163.1997912,-77.65057416,1
"141",172,"mat",163.2844057,-77.62527873,1
"142",348,"mat",163.2667996,-77.62847049,1
"143",665,"mat",163.2356158,-77.63462267,1
"144",756,"mat",163.073775,-77.61500815,1
"145",84,"mat",163.0712211,-77.61561211,1
"146",920,"mat",163.1738836,-77.64422304,1
"147",150,"mat",163.2819775,-77.62703708,1
"148",666,"mat",163.1260054,-77.64180399,1
"149",90,"mat",163.2052601,-77.65310061,1
"150",449,"mat",163.0399763,-77.61587267,1
"151",606,"mat",163.286185,-77.62673779,1
"152",273,"mat",163.1531631,-77.64609296,1
"153",411,"mat",163.2720787,-77.61621739,1
"154",619,"mat",163.2534704,-77.60763872,1
"155",670,"mat",163.0926984,-77.5985478,1
"156",531,"mat",163.0985985,-77.59534485,1
"157",504,"mat",163.0359958,-77.61302306,1
"158",198,"mat",163.1466741,-77.64653948,1
"159",425,"mat",163.1396818,-77.65222851,1
"160",935,"mat",163.2872359,-77.62585937,1
"161",789,"mat",163.2341026,-77.63913654,1
"162",316,"mat",163.2649201,-77.60982194,1
"163",780,"mat",163.2054841,-77.6418496,1
"164",682,"mat",163.0807306,-77.60121574,1
"165",589,"mat",163.210084,-77.64385569,1
"166",636,"mat",163.0200261,-77.63090048,1
"167",586,"mat",163.2137417,-77.58217389,1
"168",844,"mat",163.3276808,-77.58754683,1
"169",845,"mat",163.1662653,-77.64128593,1
"170",895,"mat",163.2164938,-77.63421929,1
"171",812,"mat",163.2926336,-77.58963706,1
"172",408,"mat",163.1353338,-77.65291038,1
"173",335,"mat",163.2824565,-77.59024419,1
"174",424,"mat",163.14557,-77.64696335,1
"175",524,"mat",163.0666027,-77.60916697,1
"176",68,"mat",163.2057221,-77.64771813,1
"177",310,"mat",163.2896537,-77.6303551,1
"178",890,"mat",163.2067049,-77.64435975,1
"179",73,"mat",163.0582428,-77.61426528,1
"180",65,"mat",163.0967434,-77.65614212,1
"181",143,"mat",163.2368821,-77.63423262,1
"182",6,"mat",163.0190538,-77.63097398,1
"183",715,"mat",163.0002162,-77.60941841,1
"184",677,"mat",163.2031902,-77.65195676,1
"185",224,"mat",163.028643,-77.61270151,1
"186",373,"mat",163.2383149,-77.63387675,1
"187",157,"mat",163.2862136,-77.62701717,1
"188",291,"mat",163.284362,-77.62007303,1
"189",648,"mat",163.070022,-77.61491808,1
"190",651,"mat",163.144188,-77.64613063,1
"191",30,"mat",163.0944272,-77.61094336,1
"192",877,"mat",163.1351452,-77.65263167,1
"193",300,"mat",163.0382831,-77.61311917,1
"194",993,"mat",163.2100927,-77.63718249,1
"195",50,"mat",163.0404473,-77.61566126,1
"196",879,"mat",163.2142072,-77.63587154,1
"197",180,"mat",163.0415695,-77.61544736,1
"198",639,"mat",163.205464,-77.64164006,1
"199",824,"mat",163.2044782,-77.65006445,1
"200",176,"mat",163.0221157,-77.61251642,1
"201",82,"mat",163.2584475,-77.62484053,1
"202",301,"mat",163.0589056,-77.61440245,1
"203",855,"mat",163.2077628,-77.64348163,1
"204",12,"mat",163.2644768,-77.64263142,1
"205",124,"mat",163.20699,-77.62189338,1
"206",580,"mat",163.2717308,-77.62565248,1
"207",353,"mat",163.2098104,-77.62918294,1
"208",388,"mat",163.0405522,-77.61496214,1
"209",728,"mat",163.2313256,-77.63411795,1
"210",226,"mat",163.2176993,-77.63487775,1
"211",42,"mat",163.2725918,-77.61645957,1
"212",980,"mat",163.0052625,-77.61146107,1
"213",391,"mat",163.2394595,-77.6339065,1
"214",787,"mat",163.096731,-77.60003388,1
"215",384,"mat",163.2029688,-77.64965183,1
"216",13,"mat",163.2165683,-77.6349876,1
"217",514,"mat",163.2551635,-77.60829476,1
"218",58,"mat",163.2037492,-77.65097604,1
"219",46,"mat",163.0339086,-77.61338033,1
"220",615,"mat",163.2933603,-77.59354678,1
"221",386,"mat",163.2536576,-77.63073223,1
"222",351,"mat",163.2985784,-77.5921244,1
"223",455,"mat",163.1406127,-77.5907003,1
"224",350,"mat",163.0414537,-77.61405036,1
"225",600,"mat",163.2894705,-77.59049059,1
"226",478,"mat",163.2075291,-77.64274897,1
"227",248,"mat",163.2055469,-77.64929111,1
"228",121,"mat",163.3367868,-77.61056242,1
"229",821,"mat",163.2591077,-77.62979877,1
"230",721,"mat",162.9996209,-77.61011931,1
"231",548,"mat",163.0603972,-77.61471109,1
"232",906,"mat",163.263584,-77.62729746,1
"233",698,"mat",163.2684338,-77.61560545,1
"234",716,"mat",163.2168445,-77.59075479,1
"235",783,"mat",163.0427758,-77.62801974,1
"236",653,"mat",163.0989126,-77.59894206,1
"237",515,"mat",163.2632064,-77.58953054,1
"238",932,"mat",163.2615642,-77.62828508,1
"239",989,"mat",163.2709356,-77.61618778,1
"240",882,"mat",163.1611054,-77.58732963,1
"241",21,"mat",163.2472868,-77.5896039,1
"242",732,"mat",163.2037749,-77.64954347,1
"243",912,"mat",163.0953635,-77.65530916,1
"244",809,"mat",163.0532113,-77.62417168,1
"245",357,"mat",163.0374276,-77.61458974,1
"246",672,"mat",163.135521,-77.65137237,1
"247",91,"mat",163.2908125,-77.63052432,1
"248",949,"mat",163.1829497,-77.63132692,1
"249",385,"mat",163.2080656,-77.64323573,1
"250",655,"mat",163.1919359,-77.58517006,1
"251",904,"mat",163.3061091,-77.5895029,1
"252",181,"mat",163.058173,-77.62310441,1
"253",969,"mat",163.1125803,-77.62292315,1
"254",872,"mat",163.2023806,-77.6520302,1
"255",346,"mat",163.1033085,-77.59714253,1
"256",867,"mat",163.2525389,-77.5868546,1
"257",625,"mat",163.2089086,-77.6469005,1
"258",440,"mat",163.0915362,-77.59827296,1
"259",763,"mat",163.2127292,-77.64251633,1
"260",19,"mat",163.2274198,-77.63420539,1
"261",272,"mat",163.2632301,-77.62701959,1
"262",571,"mat",163.2670266,-77.59842216,1
"263",858,"mat",163.1902756,-77.65355048,1
"264",277,"mat",163.2983691,-77.63737154,1
"265",216,"mat",163.0366671,-77.62905613,1
"266",751,"mat",163.0390265,-77.61423429,1
"267",188,"mat",163.0417126,-77.61324585,1
"268",690,"mat",163.2976765,-77.58968296,1
"269",765,"mat",163.0213244,-77.63082576,1
"270",163,"mat",163.3224413,-77.61192508,1
"271",259,"mat",163.2324702,-77.63414773,1
"272",24,"mat",163.1007865,-77.59991273,1
"273",958,"mat",163.28761,-77.62473956,1
"274",247,"mat",163.2809289,-77.59280191,1
"275",283,"mat",163.2684398,-77.58985561,1
"276",972,"mat",163.1981559,-77.65225834,1
