layer,longitude,lattitude
TRUE,163.184342128254,-77.5811511564999
TRUE,163.191188128254,-77.5811860564999
TRUE,163.182223128254,-77.5813256564999
TRUE,163.185483128254,-77.5813256564999
TRUE,163.174073128254,-77.5815350564999
TRUE,163.177170128254,-77.5815699564999
TRUE,163.176844128254,-77.5817793564999
TRUE,163.176192128254,-77.5818142564999
TRUE,163.177333128254,-77.5818491564999
TRUE,163.185320128254,-77.5818840564999
TRUE,163.180104128254,-77.5820585564999
TRUE,163.188743128254,-77.5821981564999
TRUE,163.177170128254,-77.5822679564999
TRUE,163.177985128254,-77.5823028564999
TRUE,163.200153128254,-77.5823377564999
TRUE,163.206836128254,-77.5828961564999
TRUE,163.163641128254,-77.5829310564999
TRUE,163.174725128254,-77.5829659564999
TRUE,163.163152128254,-77.5830008564999
TRUE,163.162826128254,-77.5830706564999
TRUE,163.162174128254,-77.5831753564999
TRUE,163.183364128254,-77.5833847564999
TRUE,163.177985128254,-77.5835243564999
TRUE,163.157936128254,-77.5836988564999
TRUE,163.171302128254,-77.5838733564999
TRUE,163.183038128254,-77.5839780564999
TRUE,163.189232128254,-77.5839780564999
TRUE,163.211400128254,-77.5840827564999
TRUE,163.167716128254,-77.5842223564999
TRUE,163.184994128254,-77.5845713564999
TRUE,163.176681128254,-77.5849552564999
TRUE,163.169672128254,-77.5851297564999
TRUE,163.192003128254,-77.5851646564999
TRUE,163.144244128254,-77.5856183564999
TRUE,163.168857128254,-77.5858626564999
TRUE,163.153535128254,-77.5866653564999
TRUE,163.153535128254,-77.5868398564999
TRUE,163.154350128254,-77.5869096564999
TRUE,163.207488128254,-77.5874331564999
TRUE,163.145548128254,-77.5876425564999
TRUE,163.149786128254,-77.5876425564999
TRUE,163.143266128254,-77.5877821564999
TRUE,163.145059128254,-77.5877821564999
TRUE,163.146200128254,-77.5877821564999
TRUE,163.147178128254,-77.5877821564999
TRUE,163.143755128254,-77.5878170564999
TRUE,163.174888128254,-77.5878519564999
TRUE,163.147341128254,-77.5879217564999
TRUE,163.144733128254,-77.5879915564999
TRUE,163.144896128254,-77.5880962564999
TRUE,163.208303128254,-77.5881660564999
TRUE,163.208629128254,-77.5882358564999
TRUE,163.163152128254,-77.5882707564999
TRUE,163.225581128254,-77.5882707564999
TRUE,163.239762128254,-77.5884103564999
TRUE,163.146037128254,-77.5884452564999
