"","SD","species","long_degrees","lat_degrees","presence"
"128",10542,"mat",163.3085528,-77.62083166,0
"129",10775,"mat",163.2832474,-77.60757015,0
"130",7361,"mat",163.3014813,-77.59347317,0
"131",3505,"mat",163.0877945,-77.62270856,0
"132",3443,"mat",163.1504947,-77.59212611,0
"133",8797,"mat",163.2800908,-77.5973479,0
"134",6273,"mat",163.3273049,-77.62406041,0
"135",8277,"mat",163.2600154,-77.59499574,0
"136",3335,"mat",163.1856079,-77.5869795,0
"137",2230,"mat",163.2571539,-77.6200599,0
"138",6702,"mat",163.2488744,-77.64001283,0
"139",2174,"mat",163.305524,-77.62147506,0
"140",7438,"mat",163.0432308,-77.65114571,0
"141",1764,"mat",163.2868565,-77.61897818,0
"142",4435,"mat",163.2834947,-77.62433966,0
"143",1079,"mat",163.0114821,-77.64424276,0
"144",7205,"mat",163.3389427,-77.60482174,0
"145",10067,"mat",163.3423786,-77.59890005,0
"146",7152,"mat",163.2362198,-77.58944472,0
"147",10856,"mat",163.1633876,-77.62082485,0
"148",7206,"mat",163.1786006,-77.62495213,0
"149",4129,"mat",163.2012455,-77.59250103,0
"150",3334,"mat",163.1226469,-77.64803658,0
"151",5194,"mat",163.0895067,-77.60488409,0
"152",8157,"mat",163.2165506,-77.61294175,0
"153",9729,"mat",163.1758385,-77.61808133,0
"154",6810,"mat",163.3003795,-77.60011686,0
"155",7369,"mat",163.3023894,-77.61481665,0
"156",3508,"mat",163.2618424,-77.62618747,0
"157",3801,"mat",163.2592285,-77.64237612,0
"158",7067,"mat",163.2279252,-77.64936632,0
"159",3152,"mat",163.0356786,-77.63880703,0
"160",5587,"mat",163.1855773,-77.63152516,0
"161",10455,"mat",163.0679024,-77.61296995,0
"162",10489,"mat",163.1368526,-77.64444929,0
"163",7151,"mat",163.345854,-77.59793954,0
"164",6158,"mat",163.2410531,-77.58571928,0
"165",8044,"mat",163.2666234,-77.62672437,0
"166",9339,"mat",163.2083971,-77.62297023,0
"167",10758,"mat",163.232443,-77.62723007,0
"168",9514,"mat",163.0530013,-77.63332577,0
"169",5874,"mat",163.2556738,-77.59222069,0
"170",2789,"mat",163.3097867,-77.60454405,0
