OID_,pointid,grid_code,longitude,lattitude
308,765998,1,163.285228910000001,-77.626951930000004
309,765999,1,163.285391830000009,-77.626951160000004
310,766000,1,163.285554759999997,-77.626950390000005
311,766601,1,163.285395410000007,-77.626986079999995
312,766602,1,163.285558339999994,-77.626985320000003
313,766607,1,163.286372980000010,-77.626981479999998
314,767165,1,163.286050700000004,-77.627017940000002
315,767713,1,163.286054269999994,-77.627052860000006
316,779432,1,163.286784750000010,-77.627818079999997
317,779946,1,163.286625390000012,-77.627853770000002
318,847710,1,163.213770469999986,-77.633043499999999
319,848128,1,163.213610840000001,-77.633079150000000
320,848129,1,163.213773849999995,-77.633078429999998
321,848131,1,163.214099870000013,-77.633076979999998
322,848548,1,163.213777230000005,-77.633113350000002
323,849382,1,163.214110010000013,-77.633181750000006
324,849383,1,163.214273020000007,-77.633181019999995
325,849775,1,163.214113389999994,-77.633216669999996
326,849776,1,163.214276399999989,-77.633215949999993
327,850191,1,163.214442789999993,-77.633250140000001
328,851433,1,163.214452940000001,-77.633354909999994
329,853387,1,163.214958889999991,-77.633527360000002
330,858797,1,163.238318319999991,-77.633911670000003
331,859123,1,163.221530540000003,-77.634022139999999
332,859124,1,163.221693560000006,-77.634021410000003
333,860201,1,163.215508840000012,-77.634153800000007
334,860562,1,163.215349199999991,-77.634189440000000
335,860563,1,163.215512230000002,-77.634188719999997
336,860937,1,163.215515610000011,-77.634223640000002
337,861964,1,163.118521479999998,-77.634742500000002
338,862175,1,163.220742610000002,-77.634305170000005
339,863018,1,163.230204960000009,-77.634332619999995
340,863751,1,163.234124449999996,-77.634384839999996
341,864859,1,163.234786869999994,-77.634486659999993
342,864865,1,163.235765039999990,-77.634482239999997
343,865183,1,163.220280709999997,-77.634586729999995
344,865184,1,163.220443740000007,-77.634586010000007
345,865249,1,163.235279389999988,-77.634519370000007
346,865251,1,163.235605450000008,-77.634517900000006
347,865252,1,163.235768479999990,-77.634517160000001
348,865253,1,163.235931499999992,-77.634516430000005
349,865562,1,163.220447140000005,-77.634620929999997
350,865618,1,163.235608890000009,-77.634552819999996
351,865619,1,163.235771919999991,-77.634552080000006
352,865969,1,163.235612330000009,-77.634587740000001
353,866282,1,163.220616960000001,-77.634690050000003
354,866283,1,163.220779999999991,-77.634689320000007
355,866284,1,163.220943030000001,-77.634688589999996
356,869628,1,163.215596830000010,-77.635061789999995
357,872887,1,163.180087289999989,-77.635566749999995
358,873554,1,163.179767770000012,-77.635638000000000
359,873890,1,163.179771049999999,-77.635672929999998
360,874252,1,163.179774339999994,-77.635707850000003
361,875066,1,163.216792279999993,-77.635615490000006
362,875419,1,163.216795670000010,-77.635650409999997
363,876950,1,163.178007059999999,-77.635994969999999
364,877265,1,163.177358129999988,-77.636032700000001
365,877591,1,163.177524460000001,-77.636066929999998
366,878360,1,163.213728239999995,-77.635978489999999
367,878712,1,163.213731620000004,-77.636013410000004
368,943623,1,163.143381589999990,-77.646238819999994
369,943753,1,163.143547960000006,-77.646273059999999
370,943754,1,163.143711150000001,-77.646272379999999
371,943891,1,163.143714329999995,-77.646307300000004
372,943892,1,163.143877519999990,-77.646306620000004
373,944193,1,163.149269080000010,-77.646353899999994
374,944197,1,163.149921830000011,-77.646351159999995
375,944303,1,163.149272279999991,-77.646388830000006
376,944304,1,163.149435469999986,-77.646388139999999
