layer,longitude,lattitude,presence
TRUE,163.2236251,-77.59999716,1
TRUE,163.0968111,-77.60003206,1
TRUE,163.0361751,-77.60006696,1
TRUE,163.1010491,-77.60013676,1
TRUE,163.0376421,-77.60020656,1
TRUE,163.1166971,-77.60031126,1
TRUE,163.1017011,-77.60034616,1
TRUE,163.0749691,-77.60041596,1
TRUE,163.0402501,-77.60048576,1
TRUE,163.1021901,-77.60052066,1
TRUE,163.1025161,-77.60079986,1
TRUE,163.1905361,-77.60079986,1
TRUE,163.2167791,-77.60079986,1
TRUE,163.1204461,-77.60114886,1
TRUE,163.0806741,-77.60121866,1
TRUE,163.1874391,-77.60121866,1
TRUE,163.1810821,-77.60139316,1
TRUE,163.1579361,-77.60146296,1
TRUE,163.0257431,-77.60153276,1
TRUE,163.0731761,-77.60153276,1
TRUE,163.0446511,-77.60163746,1
TRUE,163.1830381,-77.60177706,1
TRUE,163.1633151,-77.60247506,1
TRUE,163.1227281,-77.60254486,1
TRUE,163.1665751,-77.60261466,1
TRUE,163.2242771,-77.60278916,1
TRUE,163.1835271,-77.60282406,1
TRUE,163.2211801,-77.60310326,1
TRUE,163.1662491,-77.60313816,1
TRUE,163.2684501,-77.60313816,1
TRUE,163.2757851,-77.60313816,1
TRUE,163.1525571,-77.60317306,1
TRUE,163.1752141,-77.60324286,1
TRUE,163.1621741,-77.60327776,1
TRUE,163.1701611,-77.60327776,1
TRUE,163.2216691,-77.60331266,1
TRUE,163.0720351,-77.60338246,1
TRUE,163.1784741,-77.60341736,1
TRUE,163.1748881,-77.60352206,1
TRUE,163.2206911,-77.60362676,1
TRUE,163.3282711,-77.60383616,1
TRUE,163.1727691,-77.60387106,1
TRUE,163.1734211,-77.60425496,1
TRUE,163.1957521,-77.60456906,1
TRUE,163.2200391,-77.60502276,1
TRUE,163.1923291,-77.60509256,1
TRUE,163.1797781,-77.60516236,1
TRUE,163.2167791,-77.60516236,1
TRUE,163.2585071,-77.60516236,1
TRUE,162.9970551,-77.60519726,1
TRUE,163.2301451,-77.60519726,1
TRUE,163.1225651,-77.60526706,1
TRUE,163.1323451,-77.60526706,1
TRUE,163.1789631,-77.60540666,1
TRUE,163.1825491,-77.60551136,1
TRUE,163.1781481,-77.60554626,1
TRUE,163.1768441,-77.60558116,1
TRUE,163.1253361,-77.60568586,1
TRUE,163.1796151,-77.60572076,1
TRUE,163.1836901,-77.60572076,1
TRUE,163.0027601,-77.60575566,1
TRUE,163.2148231,-77.60589526,1
TRUE,162.9929801,-77.60610466,1
TRUE,163.1810821,-77.60610466,1
TRUE,163.1833641,-77.60610466,1
TRUE,162.9941211,-77.60627916,1
TRUE,163.1817341,-77.60627916,1
TRUE,163.1189791,-77.60631406,1
TRUE,162.9929801,-77.60638386,1
TRUE,162.9954251,-77.60645366,1
TRUE,163.1227281,-77.60645366,1
TRUE,163.1810821,-77.60645366,1
TRUE,163.1181641,-77.60652346,1
TRUE,162.9955881,-77.60666306,1
TRUE,163.1853201,-77.60666306,1
TRUE,163.0009671,-77.60669796,1
TRUE,162.9936321,-77.60673286,1
TRUE,163.0594841,-77.60673286,1
TRUE,163.0632331,-77.60683756,1
TRUE,163.1832011,-77.60701206,1
TRUE,162.9924911,-77.60704696,1
TRUE,163.2100961,-77.60711676,1
TRUE,163.1977081,-77.60746576,1
TRUE,163.1095251,-77.60757046,1
TRUE,163.1851571,-77.60760536,1
TRUE,163.2534541,-77.60764026,1
TRUE,163.2572031,-77.60784966,1
TRUE,163.1822231,-77.60788456,1
TRUE,162.9965661,-77.60795436,1
TRUE,163.3202841,-77.60802416,1
TRUE,163.1615221,-77.60816376,1
TRUE,162.9988481,-77.60823356,1
TRUE,163.2384581,-77.60830336,1
TRUE,163.2550841,-77.60830336,1
TRUE,163.1667381,-77.60847786,1
TRUE,162.9964031,-77.60854766,1
TRUE,163.1670641,-77.60865236,1
TRUE,163.1595661,-77.60868726,1
TRUE,162.9939581,-77.60875706,1
TRUE,163.1626631,-77.60882686,1
TRUE,162.9965661,-77.60889666,1
TRUE,162.9991741,-77.60893156,1
TRUE,162.9999891,-77.60900136,1
TRUE,163.1908621,-77.60903626,1
TRUE,163.0008041,-77.60907116,1
TRUE,163.1644561,-77.60914096,1
TRUE,163.1859721,-77.60917586,1
TRUE,163.0964851,-77.60921076,1
TRUE,163.2345461,-77.60931546,1
TRUE,163.2008051,-77.60938526,1
TRUE,163.0001521,-77.60942016,1
TRUE,163.0011301,-77.60952486,1
TRUE,163.2347091,-77.60959466,1
TRUE,163.1983601,-77.60966446,1
TRUE,163.0021081,-77.60973426,1
TRUE,163.1995011,-77.60990876,1
TRUE,163.0047161,-77.60994366,1
TRUE,163.2541061,-77.61001346,1
TRUE,162.9996631,-77.61011816,1
TRUE,163.1981971,-77.61011816,1
TRUE,163.2024351,-77.61018796,1
TRUE,163.2014571,-77.61022286,1
TRUE,163.2153121,-77.61036246,1
TRUE,163.0104211,-77.61043226,1
TRUE,163.0043901,-77.61050206,1
TRUE,163.0112361,-77.61053696,1
TRUE,163.2014571,-77.61060676,1
